facility_name,Facility ID,f_lng,f_lat
MPF Asphalt Recycling Inc,[52W158R],-73.271668,40.87219239
Nassau Ready Mix Corp (Glen Cove),[30W24R],-73.63692122,40.86163038
National Grid,[24W38],-73.93149919,40.71818809
New Style Recycling Corp,[41W53],-73.91902102,40.71739627
New York Paving Inc,[41W41],-73.93550052,40.72342293
New York Recycling LLC,[03W87],-73.93064508,40.81806497
Oak Openings; LLC,[26C10005],-75.91561882,43.11455605
Omni Recycling of Babylon Inc,[52M19],-73.3949933,40.73074725
One World Recycling LLC,[52M37],-73.36769495,40.70520464
Pallets-R-Us Inc,[52W162R],-72.93339983,40.80234736
Paragon Recycling & Transfer Corp,[52T46],-73.38948967,40.73063454
Paumanok Environmental,[52W151],-72.94386246,40.8105512
Pebble Lane Associates LLC,[41W64],-73.91992057,40.73498914
Peconic Recycling & Transfer Corp,[52T120],-72.50345403,41.02666735
Point Recycling Ltd,[24W92],-73.938995,40.72705848
Pond Materials Corp,[52W188R],-73.11964505,40.79874212
Posillico Materials,[52W189],-73.41522225,40.74357516
Premium Mulch & Materials Inc,[52W163R],-72.98478989,40.86096894
Quogue (V) - Highway Yard,[52W161R],-72.61574347,40.83379661
RA Morris Enterprise,[35W04],-77.15662064,42.9774019
Rason Asphalt - Glen Cove,[30W03R],-73.63745132,40.85950173
Rason Asphalt - Melville,[52W24R],-73.43847817,40.76153012
Rason Asphalt - North Lawrence,[30W04R],-73.74076001,40.76659421
Recycled Earth Products Inc,[52W97],-73.28383158,40.8786165
Regal Recycling Inc,[41W49],-73.78641121,40.70470055
Riley Excavating & Contracting Inc,[52W65R],-73.23142206,40.73625629
Riverhead CB LLC,[52C10251],-72.68282091,40.94052308
RJ Murray Enterprises Inc,[52W172R],-73.38214183,40.87242607
Roanoke Sand & Gravel Corp,[52W03R],-72.9564377,40.90327402
Roberts Asphalt Company,[52W166R],-72.92874493,40.77744766
Rock Crush Recycling LLC,[30W48R],-73.56841646,40.75498195
Russo Recycling Company/Whip Realty Corp,[41W47],-73.74382675,40.64007797
S&P Sanitation,[52W116],-72.34661543,40.91786132
Sagaponack Sand & Gravel Corp,[52W176R],-72.29020524,40.94975709
Savy's Recycling Inc,[52W181R],-73.16390472,40.8623928
Scatt Materials Corp,[52W115R],-73.29302272,40.76234343
Seville Central Mix,[30W54R],-73.45070009,40.75253361
Shelby Crushed Stone Inc,[37C10002],-72.42572568,43.21010916
Shelter Island Sand; Gravel & Construction,[52W107R],-72.34746549,41.07090789
Sky Materials Corp.,[52W80R],-72.77419863,40.92503897
Skyline LLC,[52W19R],-73.08667214,40.93297337
South Island Industries,[30W15R],-73.74341106,40.62882186
South Shore Materials,[52W06R],-73.29441792,40.76384138
South Shore Recycling LLC,[43M56],-74.23306421,40.55151075
Speonk Earth Recycling LLC,[52C10319],-75.79430969,40.8591306
Stasi Brothers Asphalt Corp,[30W43R],-73.5837212,40.75611667
Steven M Mezynieski,[52W124R],-72.41966282,40.90170411
Stokes Waste Paper Co,[43W0014],-74.11895567,40.63938763
Stonco Materials,[52W136R],-72.9918723,40.84292405
Stony Creek Services LLC,[30M35],-73.64991102,40.61987511
Suffolk Soil Ltd,[52W104R],-72.81590801,40.8120002
T&D Associates,[30W31R],-73.65149807,40.62913631
Tate Street Realty LLC,[52T04],-73.07431628,40.78032995
Thomas Novelli Contracting,[41W57],-73.792103,40.70349907
Tilcon New York Inc,[03W39],-73.90329871,40.80960169
TM Maintenance Inc,[43W46],-74.19489154,40.60186227
Town of Greece Transfer Station,[28R04],-77.71816161,43.28353835
Truckin Construction Corp,[30W51R],-73.64836646,40.83325441
Vanbro Corporation,[43W12R],-74.19435482,40.60128197
Villager Aggregates Recycling Center,[28W14],-77.62646265,43.16781804
Waste Sorting Corp,[52W66],-73.11717602,40.79341425
Watbro Recycling Inc,[52W106R],-73.29219335,40.76280859
Westbury Recycling Inc,[30W34],-73.56810451,40.75737426
Westhampton Property Associates Inc,[52W139R],-72.69126913,40.84352134
White Post Wholesale Growers,[52W179R],-73.4193624,40.84771997
Winters Bros Waste Systems Medford Facility,[52W08],-72.9871221,40.81724138
Winters Bros Waste Systems of LI LLC Excel TS,[52W08],-72.9871221,40.81724138
Winters Brothers Waste Systems - 99 Nancy Babylon,[52W09],-73.37567166,40.73934989
Zevel Transfer LLC,[03W24],-73.89236657,40.81179437
